name,RA_1,Dec_1,REDSHIFT_1,PLATE_1,FIBER_1,MJD_1,UNIFORM_TARGET,MI_Z2,LOGLBOL,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL_MGII,EW_MGII,LOGL_BROAD_MGII,EW_BROAD_MGII,LOGL_CIV,EW_CIV,VOFF_CIV_PEAK,LOGEDD_RATIO,Z_HW,E_BV
103209.63+364723.3,158.040144,36.789811,1.8859000205993652,1973,168,53432,1,-26.779064229533226,46.624599103828466,0,0,0.0,-27.0639857472125,-1.0,44.34167377816565,72.53989426708166,44.34167377816565,72.53989426708166,44.598358778123114,52.37562104854947,519.6916269600571,-0.7150807869512903,1.888459,0.019197601824998856
103111.29+374128.4,157.797044,37.691246,1.8251999616622925,1973,460,53432,1,-27.576726386815043,47.018241159872346,0,0,0.0,-26.6902573042754,-1.0,44.31460311636565,28.655945513485367,44.27432046708215,26.117529472065016,44.53897358256445,27.4679634788362,359.2533971563591,-0.5535716748163466,1.828207,0.015297328121960163
103114.20+372829.0,157.809203,37.474747,1.7936999797821045,1973,475,53432,1,-26.89235547530907,46.80298735807758,0,0,0.0,-26.873990045905224,-1.0,44.08125088017129,27.06014937006557,44.043833463256384,24.826344219472052,44.68359022575859,55.20963178176188,102.37330966510652,-0.047649709190508815,1.794378,0.0135248564183712
103325.49+375334.2,158.356212,37.892849,1.8976000547409058,1973,537,53432,1,-26.939945125379662,46.78398249987157,0,0,0.0,-26.99311174418171,-1.0,44.10446720785212,31.32252014703108,44.10446720785212,31.32252014703108,44.38130469290401,40.15652900491306,455.52665327844653,-0.46393604153875856,1.908725,0.01939757913351059
113116.75+304158.1,172.819795,30.699493,1.9204000234603882,1974,221,53430,1,-26.72168127861278,46.716732019931186,0,0,0.0,-27.11375404523192,-1.0,44.038170652499474,41.25826668996986,44.01912932303566,39.48841018967816,44.469276874282556,33.707669027569004,1053.865135100718,-0.8576701100037454,1.927661,0.020803464576601982
112918.85+321950.2,172.328576,32.330622,1.920699954032898,1974,353,53430,1,-27.183816668925658,46.88244232194481,0,0,0.0,-26.827277986041587,-1.0,44.241729220040746,31.410038076708204,44.232971703296435,30.783000269120343,44.54468587161323,27.23427585570489,968.4614898370164,-0.7853538163167002,1.929859,0.027812344953417778
112835.49+324136.9,172.147913,32.693605,1.825600028038025,1974,355,53430,1,-26.695659150906884,46.67194981832249,0,0,0.0,-26.96289029337319,-1.0,43.978456734263126,27.494157086753233,43.97295776331804,27.14822492641708,44.51005055889054,33.67678976486909,177.31942447005585,-0.7472421735523795,1.836438,0.020730644464492798
112820.04+315316.0,172.083501,31.887781,1.8839000463485718,1974,378,53430,1,-26.77457261744726,46.61908091415601,0,1,2.369499318272603,-27.05267121640409,26.750247494553182,44.07438541718637,39.148189912972924,44.060270019100614,37.89625450547612,44.60051325930289,46.09386861001009,-572.9859068274637,-0.8486452661792114,1.888836,0.024830825626850128
113059.58+324314.5,172.748256,32.720717,2.0320000648498535,1974,428,53430,1,-26.789118619667093,46.80932745342281,0,0,0.0,-27.072290936269646,-1.0,43.8481821163099,21.942445576627374,43.80322002258873,19.784402375784175,44.36585155368212,23.006778326107888,840.310241134558,-0.04606797647523564,2.03655,0.02274753898382187
124336.50+313918.7,190.902109,31.655205,1.8428000211715698,1975,189,53734,1,-26.80319566407913,46.614375462868914,0,0,0.0,-27.057185682099295,-1.0,43.972321483751124,31.758528580254136,43.91308546354101,27.78779305241556,44.49365825480016,39.35704527427265,487.61085958027655,-0.920279108707156,1.848939,0.015260634943842888
124318.63+315551.2,190.827626,31.930894,1.8173999786376953,1975,191,53734,1,-26.58601432452053,46.56226781910217,0,0,0.0,-27.116347448859557,-1.0,43.906993069133755,31.29530072842419,43.87295108127186,28.93590975934563,44.518242533939464,54.11370153977067,476.9165062668784,-0.7229583662672852,1.820302,0.014154533855617046
124537.48+322843.6,191.406197,32.478795,1.8515000343322754,1975,507,53734,1,-26.375619082880668,46.41399046521603,0,0,0.0,-27.206753536815796,-1.0,44.052936195388874,57.82274185739593,44.010749166533124,52.47007107459599,44.39321002586793,32.406113723510146,658.668555945995,-1.094211279258971,1.856553,0.014756273478269577
124918.06+320347.5,192.325261,32.063218,1.979699969291687,1975,583,53734,1,-27.257206452660423,46.74089163693203,0,0,0.0,-27.001857936672096,-1.0,44.15316798924795,36.3050421569253,44.10626679756655,32.58860375570524,44.55026787328683,38.57425775177639,872.3532046937871,-0.5262698999659889,1.987378,0.015965446829795837
124838.54+324916.2,192.160621,32.821177,1.6894999742507935,1975,605,53734,1,-27.006410924687827,46.79865112684284,0,0,0.0,-26.79639510914363,-1.0,44.09165384440527,27.159592957697157,44.08023631169332,26.454875629273147,44.64066937329653,39.357397577629165,530.3844519454666,-0.6597348370508698,1.691825,0.011374376714229584
120118.92+401318.0,180.32884099999998,40.221688,1.9329999685287476,1976,172,53401,1,-27.045608619209595,46.7263635761671,1,0,0.0,-26.99019788734755,-1.0,44.164899274099646,37.47427575626584,44.13593791625821,35.056769279406915,44.48320247000394,33.26976157405634,-101.14637337363901,0.30759655940526187,1.938848,0.022932808846235275
115445.54+401329.7,178.689772,40.224917,2.047800064086914,1976,319,53401,1,-27.67330844283542,47.070048951460265,0,0,0.0,-26.751255378284228,-1.0,44.25387613309036,24.631383671303603,44.24838715836442,24.322030813726272,44.66601252994741,23.463284226013986,1533.8060449637976,-0.6525385544876912,2.039977,0.017442088574171066
120003.89+410842.3,180.016215,41.145106,1.8600000143051147,1976,411,53401,1,-26.980021484301034,46.62314102619866,0,2,150.87805658271532,-27.07752456041404,1803.643254183769,44.207279182607934,54.495790740135774,44.193168253464,52.753591189750686,44.85417923938433,114.70846433872636,402.0453330594685,-0.805943310476529,1.859007,0.014388404786586761
115905.18+404643.5,179.77160700000002,40.778777000000005,1.871999979019165,1976,425,53401,1,-26.463207392486375,46.62392813170728,0,0,0.0,-27.069559384140508,-1.0,44.04473735404651,37.0153888706117,44.04473735404651,37.0153888706117,44.44287305970769,35.921206807446154,915.0718136124436,-1.0186158902151377,1.868212,0.016802538186311722
132902.67+382636.3,202.26114099999998,38.443419,1.7728999853134155,1977,25,53475,1,-26.712811176682163,46.5948460443461,0,0,0.0,-27.03497503510659,-1.0,43.88856449947929,27.122540145200595,43.871304471802944,26.06575644868238,44.475179042988735,38.97206589897461,-186.88021431624784,-0.2309676985257667,1.778164,0.007151263765990734
131834.48+385805.4,199.643705,38.968185999999996,1.801900029182434,1977,279,53475,1,-26.49756741995496,46.55416069126238,0,0,0.0,-27.08781472405111,-1.0,44.067184605684886,44.914934181723126,44.06449950840175,44.63809686922397,0.0,0.0,300000.0,-0.5128545490191314,1.805731,0.012598676607012749
131554.97+395346.9,198.97907,39.896361999999996,1.9329999685287476,1977,324,53475,1,-27.03411965442843,46.856419725793195,0,0,0.0,-26.975177475712716,-1.0,44.189896279176814,43.955297958541806,44.16895540662556,41.88614152511073,44.50601700213589,26.88944754672734,-272.6385649227256,-0.3594046342440791,1.936015,0.01169559732079506
131915.80+391915.0,199.815853,39.320854,1.999400019645691,1977,440,53475,1,-26.893445469732878,46.74275286726665,0,0,0.0,-27.010324130228653,-1.0,43.82714509461295,16.781032843746555,43.82714509461295,16.781032843746555,44.38746936566633,26.729376048884856,850.9916106214949,-0.3480327934453413,1.993862,0.010998944751918316
133509.75+274004.0,203.790626,27.667790999999998,1.73989999294281,1978,56,53473,1,-26.979061117582248,46.78351162161338,0,0,0.0,-26.852480184847813,-1.0,44.16640714025511,33.92490315768165,44.15858137393186,33.31906841716581,44.47264376401534,25.022559362715867,776.2140090396192,-0.7943722207923898,1.74129,0.009109566919505596
133024.73+281521.4,202.603069,28.255965000000003,1.6749000549316406,1978,187,53473,1,-27.006989237019315,46.79455933648689,0,0,0.0,-26.81947821745257,-1.0,44.08346949005767,27.52310798639649,44.08346949005767,27.52310798639649,44.512606269382744,30.54587397599321,-283.36008243337164,-0.7938193970394778,1.673779,0.012003937736153603
132747.47+284259.9,201.94779599999998,28.71665,1.9316999912261963,1978,224,53473,1,-28.136860725982554,47.26610768136213,0,0,0.0,-26.477375196666078,-1.0,44.5380869464177,27.867650238341202,44.530717284742245,27.39874620264815,44.9474875184294,29.8597892358217,861.672598470189,-0.4915162812680123,1.9389,0.013587778434157372
