#zbin zmean nqsos gimode ugmode grmode rimode izmode
2.15 2.150 3158 0.121 0.280 0.051 0.094 0.252
2.16 2.160 3318 0.110 0.302 0.047 0.093 0.258
2.17 2.170 3204 0.101 0.333 0.047 0.082 0.247
2.18 2.180 3298 0.102 0.350 0.046 0.078 0.254
2.19 2.191 3438 0.083 0.380 0.041 0.078 0.271
2.20 2.200 3525 0.093 0.401 0.047 0.077 0.258
2.21 2.210 3376 0.087 0.420 0.044 0.071 0.257
2.22 2.220 3297 0.074 0.446 0.029 0.070 0.255
2.23 2.231 3494 0.071 0.450 0.041 0.066 0.261
2.24 2.241 3428 0.053 0.477 0.022 0.063 0.261
2.25 2.251 3652 0.060 0.503 0.035 0.065 0.260
2.26 2.261 3659 0.057 0.516 0.021 0.057 0.257
2.27 2.271 3466 0.050 0.525 0.026 0.058 0.270
2.28 2.281 3523 0.042 0.534 0.017 0.048 0.268
2.29 2.290 3290 0.042 0.545 0.015 0.047 0.272
2.30 2.301 3611 0.029 0.550 0.014 0.047 0.271
2.31 2.311 3201 0.037 0.552 0.021 0.045 0.266
2.32 2.321 3440 0.023 0.577 0.008 0.041 0.266
2.33 2.330 3341 0.018 0.578 0.008 0.037 0.262
2.34 2.340 3279 0.017 0.566 0.012 0.030 0.269
2.35 2.351 3143 0.025 0.581 0.017 0.028 0.268
2.36 2.361 3094 0.016 0.593 0.013 0.026 0.275
2.37 2.371 3396 0.009 0.600 0.013 0.016 0.257
2.38 2.381 3140 0.020 0.586 0.017 0.019 0.275
2.39 2.391 3149 0.017 0.586 0.019 0.019 0.267
2.40 2.400 3018 0.009 0.591 0.013 0.017 0.266
2.41 2.411 2918 0.011 0.582 0.019 0.018 0.261
2.42 2.421 2942 0.017 0.577 0.028 0.007 0.271
2.43 2.430 2847 0.030 0.586 0.043 0.005 0.287
2.44 2.441 2791 0.029 0.561 0.046 -0.001 0.265
2.45 2.451 2533 0.034 0.568 0.057 -0.004 0.263
2.46 2.460 2645 0.038 0.567 0.058 -0.003 0.272
2.47 2.470 2606 0.049 0.562 0.071 -0.009 0.270
2.48 2.481 2491 0.041 0.559 0.071 -0.009 0.268
2.49 2.491 2415 0.044 0.558 0.076 -0.009 0.278
2.50 2.501 2280 0.051 0.566 0.076 -0.006 0.271
2.51 2.511 2366 0.060 0.560 0.084 -0.007 0.268
2.52 2.520 2358 0.053 0.563 0.080 -0.012 0.268
2.53 2.531 2282 0.047 0.577 0.080 -0.005 0.262
2.54 2.540 2285 0.050 0.577 0.081 -0.002 0.260
2.55 2.551 2259 0.061 0.572 0.087 -0.002 0.251
2.56 2.561 2127 0.054 0.556 0.080 -0.005 0.258
2.57 2.570 2151 0.071 0.591 0.085 0.006 0.248
2.58 2.580 2133 0.061 0.592 0.084 0.003 0.242
2.59 2.591 2047 0.063 0.592 0.085 -0.005 0.255
2.60 2.600 1867 0.069 0.606 0.092 -0.003 0.238
2.61 2.610 1912 0.075 0.599 0.095 0.003 0.230
2.62 2.620 1957 0.064 0.619 0.091 0.003 0.214
2.63 2.630 1831 0.082 0.642 0.092 -0.003 0.228
2.64 2.640 1762 0.085 0.643 0.112 0.010 0.208
2.65 2.650 1784 0.078 0.653 0.106 0.006 0.215
2.66 2.660 1754 0.084 0.654 0.105 0.014 0.191
2.67 2.670 1642 0.085 0.690 0.107 0.002 0.208
2.68 2.680 1597 0.095 0.661 0.109 0.026 0.169
2.69 2.691 1642 0.110 0.675 0.116 0.013 0.176
2.70 2.700 1561 0.097 0.706 0.106 0.018 0.187
2.71 2.711 1525 0.084 0.725 0.110 0.012 0.184
2.72 2.720 1324 0.107 0.792 0.115 0.022 0.164
2.73 2.730 1446 0.100 0.791 0.115 0.018 0.163
2.74 2.740 1386 0.123 0.835 0.119 0.030 0.163
2.75 2.751 1314 0.103 0.825 0.131 0.006 0.136
2.76 2.761 1380 0.117 0.850 0.128 0.032 0.127
2.77 2.770 1260 0.125 0.879 0.141 0.027 0.124
2.78 2.780 1235 0.108 0.950 0.135 0.023 0.132
2.79 2.790 1243 0.135 0.958 0.133 0.024 0.140
2.80 2.801 1211 0.119 0.954 0.138 0.020 0.126
2.81 2.810 1154 0.141 1.037 0.145 0.025 0.127
2.82 2.821 1196 0.122 1.020 0.149 0.018 0.130
2.83 2.830 1086 0.129 1.080 0.156 0.031 0.110
2.84 2.840 1137 0.150 1.152 0.150 0.034 0.130
2.85 2.850 1082 0.137 1.135 0.155 0.031 0.104
2.86 2.860 1139 0.164 1.149 0.150 0.053 0.091
2.87 2.870 1092 0.154 1.176 0.166 0.009 0.141
2.88 2.880 1004 0.152 1.171 0.162 0.041 0.085
2.89 2.890 1134 0.169 1.224 0.165 0.029 0.084
2.90 2.900 1090 0.162 1.271 0.161 0.048 0.089
2.91 2.911 1024 0.182 1.255 0.173 0.039 0.091
2.92 2.920 983 0.162 1.350 0.178 0.025 0.104
