,Unnamed: 0,SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation,F2500,Avg S2N
20,42,000716.54+015839.0,1.8189498332773155,1.9775193822020567,7853,56988,517,1.6756634999999998,4521,0.9602482039925242,0.5406200882200056,2CXO J000716.5+015839,1.818780695894304,1.9777257193271245,3.841473863854178,2.844201081646352,22.3503514335076,2.111111111111076,TRUE,False,False,False,5.654792809033001e-15,2.5981480473934996e-15,8.5586053325905e-15,,,,5.654792809033001e-15,2.5981480473934996e-15,8.5586053325905e-15,,,,0.9602516358602298,1.6475235223770142,8.024927
21,44,000733.73+020127.3,1.8905730956035995,2.0242742680394548,7852,56987,77,1.6751099999999999,4706,0.11267949197682513,0.8219455669750597,2CXO J000733.7+020127,1.8905571252381608,2.0243011731434484,1.2255906707646629,0.8701134362271143,171.79607760276582,3.515151515151352,TRUE,False,False,False,2.7401622552585e-14,1.9370112494069e-14,3.4960690842954e-14,,,,2.7401622552585e-14,1.9370112494069e-14,3.4960690842954e-14,,,,0.1126183896857487,4.36466121673584,20.018856
22,46,000856.79+155045.8,2.2366559505462646,15.84605884552002,751,52251,615,1.6904,5530,0.06373521772024685,0.8630671968212575,2CXO J000856.7+155045,2.236660025858555,15.846041576943774,0.904544142775946,0.7632845016378097,75.05064910473384,4.888888888888912,TRUE,False,False,False,4.5911738076339e-14,3.5265537942695e-14,5.589255070163e-14,,,,4.5911738076339e-14,3.5265537942695e-14,5.589255070163e-14,,,,0.0637488362052986,7.661930084228516,11.8330555
23,48,000921.51+192222.2,2.3396567552807137,19.37283941477312,7594,56947,238,1.8321879,5764,0.5247555928911495,0.5647206153496109,2CXO J000921.5+192222,2.3397446606544463,19.372959290917613,2.230629285569091,1.2569956120304355,61.70943929114912,5.575757575757113,TRUE,False,False,False,3.6221771821752e-14,2.6018455815625e-14,4.5914922027574e-14,,,,3.6221771821752e-14,2.6018455815625e-14,4.5914922027574e-14,,,,0.5247531541962492,11.072244644165039,32.864437
24,51,001133.74-072206.1,2.8905854332853664,-7.368364127513367,7149,56593,736,2.677,7148,0.11351478504033274,0.7170029179495262,2CXO J001133.7-072206,2.8905608978788,-7.368384181096988,0.7665696281632712,0.7358088305600886,75.52113331484657,6.987491596315071,TRUE,False,False,False,2.8332967617886998e-14,2.402442734303e-14,3.2388064347164e-14,,,,2.8332967617886998e-14,2.402442734303e-14,3.2388064347164e-14,,,,0.1135131528742845,0.89112788438797,5.1094685
25,52,001247.12+001239.5,3.196336030960083,0.21097399294376373,389,51795,387,2.1538,7962,1.4634623103493292,0.662156136815709,2CXO J001247.1+001238,3.1964002850120323,0.21057258535932927,8.198434552900963,4.771832917346617,1.020686039340319,2.7027027027026707,MARGINAL,False,False,False,9.8365915861131e-15,3.8828650997815e-15,1.5531460399126005e-14,,,,9.8365915861131e-15,3.8828650997815e-15,1.5531460399126005e-14,,,,1.463463435507113,4.621786117553711,5.8994064
26,53,001250.49+001204.0,3.2104014120997686,0.2011214809344291,7864,56979,515,2.199,8003,1.6377767858715675,0.2448733401485273,2CXO J001250.5+001205,3.210573219988703,0.20154273052180072,3.4482792479018767,3.4482806177044614,0.0,3.5882352941174704,TRUE,False,False,False,2.7369408683732e-14,1.8074137810012e-14,3.6148275620024e-14,,,,2.7369408683732e-14,1.8074137810012e-14,3.6148275620024e-14,,,,1.6377776595429192,0.7285143733024597,7.2828817
27,54,001306.14+000431.8,3.2756238136244558,0.0755160668474533,4217,55478,20,2.164,8185,0.17736477106374118,0.5635237497554495,2CXO J001306.1+000431,3.275673036219075,0.0755139498130504,0.751629514205725,0.7363350344942547,110.97017115079498,3.647058823529365,TRUE,False,False,False,2.0770895929422002e-14,1.5075650271355e-14,2.6466141587489e-14,,,,2.0770895929422002e-14,1.5075650271355e-14,2.6466141587489e-14,,,,0.17736500543547265,3.434908390045166,24.645203
28,57,001423.72-010201.5,3.5988560065762836,-1.033764940896566,7863,56975,920,1.561,8970,1.0127358050991278,0.5206437535087154,2CXO J001423.7-010202,3.599075573565017,-1.0339408517303017,3.8592410224202935,2.5121349686973136,61.23824608032942,3.6969696969697274,TRUE,False,False,False,4.2886492050423e-14,3.2329817084165004e-14,5.3443167016681e-14,,,,4.2886492050423e-14,3.2329817084165004e-14,5.3443167016681e-14,,,,1.0127369421572363,0.23764042556285858,1.9218097
29,58,001438.28-010750.1,3.6595108756427024,-1.1306094301483125,4218,55479,218,1.8,9119,1.3747380430055018,0.16191755141509825,2CXO J001438.3-010751,3.659626106642122,-1.1309735082808017,2.4071513405004867,1.6707252198110307,65.36039653474833,7.413574182212537,TRUE,False,False,False,8.1783100372498e-14,6.969416135489502e-14,9.3160925330242e-14,,,,8.1783100372498e-14,6.969416135489502e-14,9.3160925330242e-14,,,,1.3747376636999629,5.67921781539917,35.604282
30,60,001444.32-010328.2,3.684692748891136,-1.057839478142847,7864,56979,443,2.6650057,9190,0.6272072009435585,0.27939749020506105,2CXO J001444.3-010328,3.684837229868037,-1.057936872925156,1.4196277153384942,1.1153480984156063,39.20638715877092,4.0,TRUE,False,False,False,6.3323862215518e-15,4.4437798045978e-15,8.2209926385059e-15,,,,6.3323862215518e-15,4.4437798045978e-15,8.2209926385059e-15,,,,0.6271999801414376,0.290981650352478,1.4879702
31,64,001540.36+172551.4,3.91817666575588,17.430952966448054,6111,56270,112,2.15,9811,0.9748789920210684,0.5170636499396265,2CXO J001540.3+172552,3.918219092431059,17.431220724488128,3.683303163324041,2.9747448755682244,131.40001933580191,4.000000000000293,TRUE,False,False,False,2.2369900831118e-14,1.5455567846955e-14,2.9284233815282e-14,,,,2.2369900831118e-14,1.5455567846955e-14,2.9284233815282e-14,,,,0.9748814970910332,0.6633918285369873,9.890146
32,65,001541.41+171410.6,3.92256453198786,17.236284620989142,6111,56270,114,1.735,9826,1.0396989471400016,0.18929831716664933,2CXO J001541.4+171411,3.922813539177469,17.236448476011308,1.9395715188579337,1.2757311141461387,8.347792865262619,3.000000000000031,TRUE,False,False,False,2.1045576608015e-14,1.4030384405343e-14,2.8060768810686e-14,,,,2.1045576608015e-14,1.4030384405343e-14,2.8060768810686e-14,,,,1.0397016373549888,0.7808399200439453,9.68129
33,66,001556.31+320738.4,3.984644092567464,32.12735070445253,7129,56569,268,3.112,9981,0.3462663408782765,0.28393392438348,2CXO J001556.3+320738,3.9846293898440313,32.12744607847766,0.7911613475429925,0.7615187828704317,145.1597568114311,5.257142857142855,TRUE,False,False,False,2.2230317310262995e-14,1.7833111688452998e-14,2.6627522932073e-14,,,,2.2230317310262995e-14,1.7833111688452998e-14,2.6627522932073e-14,,,,0.34626009317785444,0.5799884796142578,6.387695
34,67,001639.59+321321.2,4.1649972189154605,32.222564064325994,7129,56569,230,1.84,10446,1.5658098807903942,0.026144323741395303,2CXO J001639.5+321319,4.164769781794632,32.222173989970806,1.726647004875563,1.2728546898170787,41.6614454043756,4.777777777777937,TRUE,False,False,False,2.5542206876073e-14,1.9475932743005e-14,3.1289203423189e-14,,,,2.5542206876073e-14,1.9475932743005e-14,3.1289203423189e-14,,,,1.5658096326775568,0.4030017554759979,4.5388803
35,69,001812.73+295536.6,4.55305114606972,29.926853076528182,7128,56567,442,3.096,11438,0.9868458131977093,0.5654839461610178,2CXO J001812.7+295537,4.553208507174475,29.927090868689646,4.203119737395763,2.7793677606476654,132.72856708225066,4.324324324324364,MARGINAL,False,False,False,3.3911407679317e-14,2.4620611054846e-14,4.2737664472562986e-14,,,,3.3911407679317e-14,2.4620611054846e-14,4.2737664472562986e-14,,,,0.9868486707961192,0.1229480504989624,3.6035001
36,70,001939.77+213244.2,4.915712139185303,21.545632172637983,7591,56954,390,1.7472804,12403,0.3173541760778353,0.6014347249436031,2CXO J001939.7+213244,4.915678132307846,21.545714455305838,1.4871839466414334,1.1636521833603513,135.45437770155692,5.563984730181099,TRUE,False,False,False,3.2213266408643986e-14,2.5698223764199004e-14,3.8366362239509004e-14,,,,3.2213266408643986e-14,2.5698223764199004e-14,3.8366362239509004e-14,,,,0.31735047518715764,1.4559916257858276,17.070417
37,72,001952.29+213415.1,4.9678818277008086,21.570883829597502,6175,56265,860,2.9989999999999997,12517,0.9760992133577164,0.0991717035770696,2CXO J001952.2+213415,4.967591654248281,21.57085742305107,1.4502801869611075,1.4502834438886338,0.0,2.5405405405405093,TRUE,False,False,False,6.1843607395354004e-15,3.4517362267174e-15,8.9169852523533e-15,,,,6.1843607395354004e-15,3.4517362267174e-15,8.9169852523533e-15,,,,0.9761028069718204,1.5393648147583008,15.347135
38,73,002010.81+213252.3,5.0450700160440665,21.54786148664154,7591,56954,350,2.019714,12694,0.2033450098828989,0.4891889917988542,2CXO J002010.8+213252,5.045044334027069,21.547912674393487,0.7197191860313557,0.7190428870464263,145.74556520840625,7.526877368358287,TRUE,False,False,False,3.8421276851030004e-14,3.3317338457881e-14,4.3525215244179e-14,,,,3.8421276851030004e-14,3.3317338457881e-14,4.3525215244179e-14,,,,0.2033531841752852,30.416872024536133,38.403137
39,74,002015.60+213145.3,5.065009591248894,21.529272091184296,7591,56954,348,2.3672662,12740,0.13603869711604227,0.6732158837410298,2CXO J002015.6+213145,5.065025487275649,21.52930685684816,0.7895656709416674,0.7415701686506991,60.22605304824765,5.905314699154968,TRUE,False,False,False,2.27224674292e-14,1.8846426847769e-14,2.6598508010631e-14,,,,2.27224674292e-14,1.8846426847769e-14,2.6598508010631e-14,,,,0.1360069156919589,0.5150526165962219,7.4473424
40,76,002020.88+212922.1,5.087002351407591,21.489474733045988,7591,56954,342,2.217,12789,0.4843603499555682,0.5251912249393489,2CXO J002020.9+212921,5.087139534373193,21.48943220234528,1.8660590623342201,1.8660590623342201,0.0,2.810810810810778,TRUE,False,False,False,6.6364405725976e-15,4.0631268811821996e-15,9.209754264013e-15,,,,6.6364405725976e-15,4.0631268811821996e-15,9.209754264013e-15,,,,0.4843644336344211,0.8537939190864563,9.872721
41,77,002025.22+154054.7,5.105089027844599,15.681865416738475,6185,56217,348,2.019,12845,0.11434397637545456,0.693815120135473,2CXO J002025.2+154054,5.105084188271237,15.681834000722985,0.7109435580356782,0.7105581053170085,112.98654065905413,23.66839772304366,TRUE,True,False,False,2.6067115241705e-13,2.4965480161292005e-13,2.7168750322119e-13,,,,2.6067115241705e-13,2.4965480161292005e-13,2.7168750322119e-13,,,,0.1143347948284708,23.439077377319336,40.121708
42,78,002028.96+153435.8,5.120698928833008,15.576635360717773,753,52233,430,1.7633,12886,0.8652019296028958,0.09302914373761173,2CXO J002028.9+153436,5.120455046295434,15.576686069939196,1.262039652111418,0.9477423518385376,102.47219177483,10.125692167930067,TRUE,False,False,False,9.1461248919398e-14,8.215590089774901e-14,1.0076659694105e-13,,,,9.1461248919398e-14,8.215590089774901e-14,1.0076659694105e-13,,,,0.8652088107752597,8.323138236999512,13.301697
43,79,002049.83+283810.2,5.20766076979112,28.63619159816546,6277,56273,858,2.478,13111,0.6039497012453543,0.09359673790606884,2CXO J002049.8+283810,5.2076706454496975,28.63635913697761,0.882484042911852,0.8049695367572981,153.03658078346137,3.5882352941176845,TRUE,False,False,False,2.2852651937664e-14,1.6377733888658998e-14,2.9327569986669e-14,,,,2.2852651937664e-14,1.6377733888658998e-14,2.9327569986669e-14,,,,0.6039463475524954,2.772942066192627,18.03823
44,80,002051.65+213513.8,5.215218253880836,21.58718131677135,7591,56954,318,2.0662062,13135,1.732190882145963,0.4506190617984437,2CXO J002051.6+213512,5.215378459493196,21.58672379310805,5.620755468635708,3.5945235736192744,23.621350481564413,3.812500000000292,TRUE,False,False,False,2.6024072589429e-14,1.4251277846592e-14,3.7177246556327e-14,,,,2.6024072589429e-14,1.4251277846592e-14,3.7177246556327e-14,,,,1.7321934753781725,0.9176496267318726,11.432942
