SDSS_NAME,RA_1,DEC_1,PLATE,MJD,FIBERID,Z,usrid,separation_2,probability,name,ra_2,dec_2,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,flux_aper_avg_b,flux_aper_avg_lolim_b,flux_aper_avg_hilim_b,flux_aper_avg_w,flux_aper_avg_lolim_w,flux_aper_avg_hilim_w,Separation
083712.89+145917.3,129.3037258128472,14.988162219446142,4500,55543,682,2.515,134186,0.632598776770431,0.05845100071214171,2CXO J083712.9+145917,129.30379132175779,14.988326153229837,0.8193523063631785,0.7904983675582302,8.811080992406914,7.37886237264731,TRUE,false,false,false,5.5053463045118E-14,4.7575113144334E-14,6.2531812945902E-14,,,,5.5053463045118E-14,4.7575113144334E-14,6.2531812945902E-14,,,,0.632603821406948
083719.54+553710.5,129.33144255490777,55.61958677466085,5153,56577,325,1.305,134269,1.4231031052518992,0.28872223768983807,2CXO J083719.6+553709,129.33176654037067,55.61923635134496,3.284003379974061,2.252019827570003,91.42357306640095,3.7575757575755864,TRUE,false,false,false,5.0216813365963E-14,3.5239869028746E-14,6.519375770318E-14,,,,5.0216813365963E-14,3.5239869028746E-14,6.519375770318E-14,,,,1.423104142675446
083720.65+540249.0,129.33607207431075,54.046961437462464,7277,56748,110,1.159,134283,1.1775521968068698,0.3699948705584425,2CXO J083720.5+540248,129.33554911409522,54.046848665549746,3.215522710746007,2.467470999464226,174.32725723909138,3.7575757575756317,TRUE,false,false,false,4.6416045905878E-14,3.3264832899212E-14,5.8793658147445E-14,,,,4.6416045905878E-14,3.3264832899212E-14,5.8793658147445E-14,,,,1.177547824917757
083722.41+582501.8,129.3433837890625,58.41719055175781,1784,54425,402,2.101,134305,0.10987798153944886,0.7053525429150425,2CXO J083722.4+582501,129.34343918197817,58.417181070253314,0.7113221615186981,0.7106179306501249,91.40002689833138,21.00597781787143,TRUE,false,false,false,1.2640407209548E-12,1.2031900607683E-12,1.3208346704623E-12,,,,1.2640407209548E-12,1.2031900607683E-12,1.3208346704623E-12,,,,0.10987577436004348
083728.22+441811.8,129.3675852306735,44.30327971280449,6783,56284,577,1.475,134364,0.39467753300915703,0.4036110734610491,2CXO J083728.2+441812,129.3675004613218,44.30337103091359,1.1568045103205669,1.1322822278916587,116.08755520866774,2.702702702702868,TRUE,false,false,false,4.4555447868344E-15,2.5743147657266E-15,6.3367748079423E-15,,,,4.4555447868344E-15,2.5743147657266E-15,6.3367748079423E-15,,,,0.3946769909953928
083729.03+441858.3,129.37095829070066,44.31620433589745,6383,56362,572,1.028,134378,0.24592522693347588,0.45769842602402866,2CXO J083729.0+441858,129.37102204706406,44.31625518181355,0.8106122613454573,0.8015648353224192,6.1090133105534505,5.812726846463702,TRUE,false,false,false,4.8416382409739E-14,3.9995880956707E-14,5.6836883862771E-14,,,,4.8416382409739E-14,3.9995880956707E-14,5.6836883862771E-14,,,,0.24591583639107703
083740.72+533516.9,129.41970440607258,53.58802999284276,7277,56748,104,1.44,134505,0.750647267467006,0.21491427466210888,2CXO J083740.8+533516,129.42004554324308,53.58798025504236,1.4820870812637919,1.1707866302399177,78.89768565365671,5.200000000000456,TRUE,false,false,false,4.1887359382496E-14,3.3017095042674E-14,5.0757623722319E-14,,,,4.1887359382496E-14,3.3017095042674E-14,5.0757623722319E-14,,,,0.7506492921853025
083742.17+442441.6,129.42572312438804,44.4115630374725,6382,56365,854,1.291,134526,0.9810275150491924,0.29136356758645254,2CXO J083742.1+442442,129.42578674489585,44.411831727161974,2.276276061225065,1.4210942770681658,4.747305025507501,3.2941176470587603,TRUE,false,false,false,5.4329612799729E-15,2.1445899789367E-15,8.7213325810091E-15,,,,5.4329612799729E-15,2.1445899789367E-15,8.7213325810091E-15,,,,0.9810214050350206
083744.82+540757.5,129.43675874482028,54.13266298843935,7277,56748,80,2.2030000000000003,134561,0.6376929953821211,0.05425675522937268,2CXO J083744.7+540756,129.43664634418923,54.13249854799853,0.8120618958555664,0.7540638790783758,28.818993436366554,5.635764369138629,TRUE,false,false,false,4.25812588416E-14,3.5066651030589E-14,5.0095866652612E-14,,,,4.25812588416E-14,3.5066651030589E-14,5.0095866652612E-14,,,,0.6376958918846701
083749.59+364145.5,129.45664835571077,36.695991749104756,8858,57450,148,3.395,134621,0.08849576975352208,0.7678859229680584,2CXO J083749.6+364145,129.45667015831896,36.6960090229994,0.7339384032744237,0.7331012750514941,87.27315193443184,3.5428571428574305,TRUE,false,false,false,2.1889230108104E-14,1.5887344433301E-14,2.7891115782907E-14,,,,2.1889230108104E-14,1.5887344433301E-14,2.7891115782907E-14,,,,0.0884749062990677
